View,Site_Name,Station,Ntwk,Elev,Lat,Lon,installed,state,County,Hydrologic_Unit,SHEF
Current Historic,Antero,05L05,SNOW,9300,38.92,-105.97,1949,CO,Park,Salt Creek 101900010204,ATRC2
Current Historic,Antero Reservoir,05L06,SNOW,9000,39,-105.88,1983,CO,Park,101900010210 101900010210,ANTC2
Current Historic,Apishapa,05M07S,SNTL,10000,37.33,-105.07,1980,CO,Huerfano,Middle Creek-Cucharas River 110200060406,APSC2
Current Historic,Arapaho Ridge,06J08S,SNTL,10960,40.35,-106.35,2002,CO,Grand,Rabbit Ears Creek-Troublesome Creek 140100010604,ARPC2
Current Historic,Baltimore,05K23,SNOW,8800,39.9,-105.58,1961,CO,Gilpin,Upper South Boulder Creek 101900050502,BLTC2
Current Historic,Bear Lake,05J39S,SNTL,9500,40.31,-105.65,1980,CO,Larimer,Glacier Creek 101900060201,BLKC2
Current Historic,Bear River,07J03S,SNTL,9080,40.06,-107.01,2005,CO,Routt,Yamcolo Reservoir-Bear River 140500010102,BRRC2
Current Historic,Beartown,07M32S,SNTL,11600,37.71,-107.51,1980,CO,Mineral,Bear Creek-Rio Grande 130100010104,BRTC2
Current Historic,Beaver Ck Village,06K45S,SNTL,8500,39.6,-106.51,2003,CO,Eagle,Beaver Creek-Eagle Creek 140100030301,BCVC2
Current Historic,Bennett Creek,05J33,SNOW,9200,40.67,-105.62,1966,CO,Larimer,Black Hollow-Cache La Poudre River 101900070208,BENC2
Current Historic,Berthoud Falls,05K13,SNOW,10500,39.78,-105.78,1951,CO,Clear Creek,West Fork Clear Creek 101900040103,BEFC2
Current Historic,Berthoud Pass,05K03,SNOW,9700,39.83,-105.75,1936,CO,Grand,Upper Fraser River 140100010202,BTPC2
Current Historic,Berthoud Summit,05K14S,SNTL,11300,39.8,-105.78,1963,CO,Grand,Upper Fraser River 140100010202,BTSC2
Current Historic,Big South,05J03,SNOW,8600,40.62,-105.82,1936,CO,Larimer,Joe Wright Creek 101900070204,BSOC2
Current Historic,Bison Lake,07K12S,SNTL,10880,39.76,-107.36,1985,CO,Garfield,Headwaters Deep Creek 140100011401,BLSC2
Current Historic,Black Mesa,08M12S,SNTL,11580,37.79,-108.18,2011,CO,Dolores,Fish Creek 140300020103,BMSC2
Current Historic,Black Mountain,05J28S,SNTL,8920,40.89,-105.66,2011,CO,Larimer,Upper Dale Creek 101900070501,BMNC2
Current Historic,Blue River,06K21,SNOW,10500,39.38,-106.05,1957,CO,Summit,Headwaters Blue River 140100020101,BLLC2
Current Historic,Boulder Falls,05J25,SNOW,10000,40.02,-105.57,1952,CO,Boulder,North Boulder Creek 101900050401,BLFC2
Current Historic,Brown Cabin,05M04,SNOW,9600,37.55,-105.4,1965,CO,Costilla,East Fork Ute Creek 130100020604,BRCC2
Current Historic,Brumley,06K40S,SNTL,10600,39.09,-106.54,1980,CO,Lake,North Fork Lake Creek 110200010101,BRMC2
Current Historic,Buckskin Joe,06K16S,SNTL,11150,39.3,-106.11,1998,CO,Park,Headwaters Middle Fork South Platte River 101900010102,BUCC2
Current Historic,Buffalo Park,06J18S,SNTL,9240,40.23,-106.6,1995,CO,Grand,Red Dirt Creek 140100010706,BUFC2
Current Historic,Burro Mountain,07K02S,SNTL,9400,39.88,-107.6,1979,CO,Rio Blanco,North Elk Creek 140500050302,BURC2
Current Historic,Butte,06L11S,SNTL,10160,38.89,-106.95,1980,CO,Gunnison,Washington Gulch-Slate River 140200010206,BUTC2
Current Historic,Butterhill,06J37,SNOW,7880,40.93,-106.98,1976,CO,Routt,Little Snake River-Whiskey Creek 140500030101,BTHC2
Current Historic,Cameron Pass,05J01,SNOW,10285,40.52,-105.89,1936,CO,Jackson,Headwaters Michigan River 101800010503,CPAC2
Current Historic,Cascade,07M05S,SNTL,8880,37.65,-107.81,1979,CO,San Juan,Headwaters Cascade Creek 140801040201,CSCC2
Current Historic,Cascade #2,07M35S,SNTL,8920,37.66,-107.8,1990,CO,San Juan,Headwaters Cascade Creek 140801040201,CADC2
Current Historic,Chambers Lake,05J02,SNOW,9000,40.62,-105.83,1936,CO,Larimer,Joe Wright Creek 101900070204,CHLC2
Current Historic,Chapman Tunnel,06K46S,SNTL,10110,39.26,-106.63,2007,CO,Pitkin,Deeds Creek-Fryingpan River 140100040504,HAPC2
Current Historic,Cochetopa Pass,06L06,SNOW,10000,38.17,-106.6,1949,CO,Saguache,Luders Creek 130100040203,CHPC2
Current Historic,Cochetopa Pass,06L06S,SNTL,10020,38.16,-106.6,2004,CO,Saguache,Luders Creek 130100040203,CZSC2
Current Historic,Columbine,06J03S,SNTL,9160,40.39,-106.6,1979,CO,Jackson,Upper Grizzly Creek 101800010102,COLC2
Current Historic,Columbine Ditch,06K47,SNOW,11576,39.38,-106.25,2004,CO,Eagle,East Fork Eagle River 140100030202,
Current Historic,Columbine Lodge,06J03,SNOW,9160,40.4,-106.6,1936,CO,Jackson,Upper Grizzly Creek 101800010102,COLC2
Current Historic,Columbine Pass,08L02S,SNTL,9400,38.42,-108.38,1986,CO,Montrose,Potter Creek 140200050202,CPSC2
Current Historic,Columbus Basin,08M10S,SNTL,10785,37.44,-108.02,1994,CO,La Plata,Headwaters La Plata River 140801050101,CMBC2
Current Historic,Como,05K25,SNOW,10370,39.35,-105.92,1967,CO,Park,Headwaters Tarryall Creek 101900010402,TYCC2
Current Historic,Copeland Lake,05J18,SNOW,8600,40.2,-105.57,1949,CO,Boulder,Headwaters North Saint Vrain Creek 101900050202,COPC2
Current Historic,Copeland Lake,05J18S,SNTL,8600,40.21,-105.57,1980,CO,Boulder,Headwaters North Saint Vrain Creek 101900050202,COPC2
Current Historic,Copper Mountain,06K24S,SNTL,10550,39.49,-106.17,1979,CO,Summit,West Tenmile Creek 140100020302,CPMC2
Current Historic,Corral Creek,06J17,SNOW,9700,40.15,-106.15,1995,CO,Grand,Corral Creek-Colorado River 140100010601,
Current Historic,Crested Butte,07L01,SNOW,8920,38.88,-107,1936,CO,Gunnison,Oh-be-Joyful Creek-Slate River 140200010205,BTTC2
Current Historic,Crosho,07J04S,SNTL,9100,40.17,-107.06,1986,CO,Rio Blanco,Outlet Hunt Creek 140500010106,CRSC2
Current Historic,Cucharas Creek,05M12,SNOW,9700,37.33,-105.08,1974,CO,Huerfano,Middle Creek-Cucharas River 110200060406,CUCC2
Current Historic,Culebra #2,05M03S,SNTL,10500,37.21,-105.2,1979,CO,Costilla,Headwaters Culebra Creek 130100020902,CULC2
Current Historic,Cumbres Pass,06M07,SNOW,10020,37.02,-106.45,1936,CO,Conejos,Wolf Creek 130201020203,CO273
Current Historic,Cumbres Trestle,06M22S,SNTL,10040,37.02,-106.45,1980,CO,Conejos,Wolf Creek 130201020203,CUMC2
Current Historic,Deadman Hill,05J06,SNOW,10220,40.8,-105.77,1937,CO,Larimer,Lower Dale Creek 101900070502,DDMC2
Current Historic,Deadman Hill,05J06S,SNTL,10220,40.81,-105.77,1979,CO,Larimer,Lower Dale Creek 101900070502,DDMC2
Current Historic,Deer Ridge,05J17,SNOW,9000,40.4,-105.63,1949,CO,Larimer,Fall River 101900060204,DEEC2
Current Historic,Dry Lake,06J01S,SNTL,8400,40.53,-106.78,1980,CO,Routt,City of Steamboat Springs-Yampa River 140500010409,DRLC2
Current Historic,Echo Lake,05K27S,SNTL,10600,39.66,-105.59,1998,CO,Clear Creek,Vance Creek 101900020801,ECLC2
Current Historic,El Diente Peak,08M06S,SNTL,10000,37.79,-108.02,1986,CO,Dolores,Cayton Valley-Dolores River 140300020202,EDSC2
Current Historic,Eleven Mile,05L07,SNOW,8590,38.95,-105.53,1983,CO,Park,Elevenmile Reservoir 101900010307,ELEC2
Current Historic,Elk River,06J15S,SNTL,8700,40.85,-106.97,1979,CO,Routt,Steamboat Lake 140500010206,ELKC2
Current Historic,Elkhead Divide,07J06S,SNTL,8780,40.8,-107.1,2016,CO,Routt,Headwaters Elkhead Creek 140500010601,EKDC2
Current Historic,Elliot Ridge,06K29S,SNTL,10520,39.86,-106.42,2009,CO,Summit,Deep Creek-Blue River 140100020602,ELRC2
Current Historic,Empire #2,05K29,SNOW,9680,39.77,-105.78,1972,CO,Clear Creek,West Fork Clear Creek 101900040103,
Current Historic,Ewing Upper,06K48,SNOW,11270,39.37,-106.28,2006,CO,Eagle,South Fork Eagle River 140100030201,
Current Historic,Fool Creek,05K30S,SNTL,11150,39.87,-105.87,2011,CO,Grand,Saint Louis Creek 140100010203,FCVC2
Current Historic,Fremont Pass,06K08S,SNTL,11400,39.38,-106.2,1980,CO,Summit,Upper Tenmile Creek 140100020301,FMTC2
Current Historic,Geneva Park,05K11,SNOW,9600,39.52,-105.72,1949,CO,Park,Geneva Creek 101900020201,GNVC2
Current Historic,Glen Cove,05L11S,SNTL,11460,38.88,-105.07,2004,CO,Teller,Headwaters Fountain Creek 110200030201,GLNC2
Current Historic,Gore Pass,06J11,SNOW,9400,40.08,-106.55,1951,CO,Grand,Pass Creek 140100010707,GOPC2
Current Historic,Granby,05J16,SNOW,8600,40.15,-106,1949,CO,Grand,Lower Willow Creek 140100010104,GNBC2
Current Historic,Grayback,06M21,SNOW,11600,37.47,-106.53,1967,CO,Rio Grande,East Fork Pinos Creek 130100020101,GBKC2
Current Historic,Grayback,06M21S,SNTL,11620,37.47,-106.54,2004,CO,Rio Grande,East Fork Pinos Creek 130100020101,GYBC2
Current Historic,Grizzly Peak,05K09S,SNTL,11100,39.65,-105.87,1980,CO,Summit,North Fork Snake River 140100020201,GZPC2
Current Historic,Groundhog,08M03,SNOW,8940,37.8,-108.27,1975,CO,Dolores,Groundhog Creek 140300020102,GROC2
Current Historic,Hagerman Tunnel,06K42,SNOW,11150,39.25,-106.5,1981,CO,Lake,Headwaters Fryingpan River 140100040501,HGSC2
Current Historic,Hayden Pass,05L12S,SNTL,10720,38.29,-105.85,2007,CO,Saguache,Piney Creek-San Luis Creek 130100030301,HPAC2
Current Historic,Hidden Valley,05J13,SNOW,9480,40.4,-105.65,1941,CO,Larimer,Fall River 101900060204,HIDC2
Current Historic,High Lonesome,05J46S,SNTL,10620,40.04,-105.75,2011,CO,Grand,Meadows Creek-Ranch Creek 140100010205,HLNC2
Current Historic,Hoosier Pass,06K01S,SNTL,11400,39.36,-106.06,1980,CO,Summit,Headwaters Blue River 140100020101,HOOC2
Current Historic,Horseshoe Mountain,06K35,SNOW,11220,39.2,-106.13,1967,CO,Park,Fourmile Creek 101900010209,HOMC2
Current Historic,Hourglass Lake,05J11,SNOW,9360,40.58,-105.63,1938,CO,Larimer,Beaver Creek 101900070101,HGLC2
Current Historic,Hourglass Lake,05J11S,SNTL,9380,40.58,-105.63,2009,CO,Larimer,Beaver Creek 101900070101,HRLC2
Current Historic,Idarado,07M27S,SNTL,9800,37.93,-107.68,1980,CO,Ouray,Red Mountain Creek 140200060201,IDRC2
Current Historic,Independence Pass,06K04,SNOW,10600,39.07,-106.62,1936,CO,Pitkin,Lincoln Creek 140100040101,IDPC2
Current Historic,Independence Pass,06K04S,SNTL,10600,39.08,-106.61,1980,CO,Pitkin,Lincoln Creek 140100040101,IDPC2
Current Historic,Ironton Park,07M06,SNOW,9600,37.97,-107.67,1937,CO,Ouray,Red Mountain Creek 140200060201,IRNC2
Current Historic,Ivanhoe,06K10S,SNTL,10400,39.29,-106.55,1992,CO,Pitkin,Headwaters Fryingpan River 140100040501,IVHC2
Current Historic,Jackwhacker Gulch,05K26S,SNTL,10960,39.57,-105.8,1998,CO,Clear Creek,Geneva Creek 101900020201,JWGC2
Current Historic,Joe Wright,05J37S,SNTL,10120,40.53,-105.89,1979,CO,Larimer,Joe Wright Creek 101900070204,JWRC2
Current Historic,Jones Pass,05K21,SNOW,10400,39.77,-105.9,1957,CO,Grand,Headwaters Williams Fork 140100010402,JNPC2
Current Historic,Jones Pass,05K21S,SNTL,10400,39.76,-105.91,1999,CO,Grand,Headwaters Williams Fork 140100010402,JNPC2
Current Historic,Keystone,07L04,SNOW,9960,38.87,-107.03,1961,CO,Gunnison,Coal Creek 140200010204,KYSC2
Current Historic,Kiln,06K30S,SNTL,9600,39.32,-106.61,1980,CO,Pitkin,Deeds Creek-Fryingpan River 140100040504,KLNC2
Current Historic,La Veta Pass,05M01,SNOW,9440,37.6,-105.2,1938,CO,Costilla,Headwaters angre de Cristo Creek 130100020502,LVPC2
Current Historic,Lake City,07M08,SNOW,10160,37.98,-107.25,1948,CO,Hinsdale,Lake Sanc Cristobal-Lake Fork 140200020602,LKYC2
Current Historic,Lake Eldora,05J41S,SNTL,9700,39.94,-105.59,1979,CO,Gilpin,Middle Boulder Creek 101900050402,LELC2
Current Historic,Lake Irene,05J10,SNOW,10700,40.42,-105.82,1938,CO,Grand,Headwaters Colorado River 140100010302,LKIC2
Current Historic,Lake Irene,05J10S,SNTL,10700,40.41,-105.82,1979,CO,Grand,Headwaters Colorado River 140100010302,LKIC2
Current Historic,Lapland,05K07,SNOW,9300,39.89,-105.89,1938,CO,Grand,Saint Louis Creek 140100010203,GLPC2
Current Historic,Left Hand,05J44,SNOW,9900,40.08,-105.53,2008,CO,Boulder,Upper Left Hand Creek 101900050302,
Current Historic,Lemon Reservoir,07M23,SNOW,8700,37.45,-107.67,1968,CO,La Plata,Virginia Gulch-Florida River 140801040702,LMNC2
Current Historic,Lily Pond,06M23S,SNTL,11000,37.38,-106.55,1980,CO,Conejos,Headwaters Alamosa River 130100020302,LPDC2
Current Historic,Lizard Head Pass,07M29S,SNTL,10200,37.8,-107.92,1980,CO,Dolores,Headwaters Dolores River 140300020201,LIZC2
Current Historic,Lone Cone,08M07S,SNTL,9600,37.89,-108.2,1980,CO,San Miguel,Headwaters Beaver Creek 140300030302,LNCC2
Current Historic,Long Draw Reservoir,05J27,SNOW,9980,40.51,-105.77,1971,CO,Larimer,La Poudre Pass Creek 101900070203,LRVC2
Current Historic,Long Draw Resv,05J27S,SNTL,9980,40.51,-105.77,2009,CO,Larimer,La Poudre Pass Creek 101900070203,LRVC2
