View,Site_Name,Station,Ntwk,Elev,Lat,Lon,installed,state,County,Hydrologic_Unit,SHEF
Current Historic,Longs Peak,05J22,SNOW,10500,40.27,-105.58,1951,CO,Larimer,Cabin Creek 101900050203,LPKC2
Current Historic,Lost Dog,06J38S,SNTL,9320,40.82,-106.75,1998,CO,Routt,Outlet North Fork Elk Creek 140500010203,LOTC2
Current Historic,Lostman,06K49,SNOW,10626,39.12,-106.62,2006,CO,Pitkin,Headwaters Roaring Fork River 140100040102,
Current Historic,Love Lake,07M10,SNOW,10000,37.67,-107.02,1962,CO,Mineral,Headwaters Red Mountain Creek 130100010501,LLKC2
Current Historic,Loveland Basin,05K05S,SNTL,11400,39.67,-105.9,1992,CO,Clear Creek,Headwaters Clear Creek 101900040102,LBAC2
Current Historic,Lynx Pass,06J06S,SNTL,8880,40.08,-106.67,1980,CO,Routt,Headwaters Rock Creek 140100011001,LYNC2
Current Historic,Mancos,08M02S,SNTL,10000,37.43,-108.17,1994,CO,Montezuma,West Mancos River 140801070102,MNCC2
Current Historic,Mc Clure Pass,07K09S,SNTL,9500,39.13,-107.29,1980,CO,Pitkin,Lee Creek 140200040203,MCPC2
Current Historic,Mc Intyre,05J15,SNOW,9100,40.78,-105.93,1949,CO,Larimer,Nunn Creek 101800100103,MCIC2
Current Historic,Mc Kenzie Gulch,06K28,SNOW,8500,39.5,-106.75,1961,CO,Eagle,West Brush Creek 140100030401,MKZC2
Current Historic,Mccoy Park,06K44S,SNTL,9480,39.6,-106.54,2003,CO,Eagle,June Creek-Eagle River 140100030302,MCYC2
Current Historic,Medano Pass,05M16S,SNTL,9649,37.85,-105.44,1996,CO,Saguache,Medano Creek 130100030604,MDPC2
Current Historic,Mesa Lakes,08K04,SNOW,10000,39.05,-108.08,1937,CO,Mesa,Mesa Creek 140100051308,MESC2
Current Historic,Mesa Lakes,08K04S,SNTL,10000,39.06,-108.06,1986,CO,Mesa,Coon Creek 140100051307,MESC2
Current Historic,Michigan Creek,05K28S,SNTL,10600,39.44,-105.91,1998,CO,Park,Michigan Creek 101900010404,MIHC2
Current Historic,Middle Creek,07M21S,SNTL,11250,37.62,-107.03,1980,CO,Mineral,Headwaters Red Mountain Creek 130100010501,MDLC2
Current Historic,Middle Fork Camp,06K12S,SNTL,8940,39.8,-106.03,2001,CO,Grand,Headwaters Williams Fork 140100010402,MFKC2
Current Historic,Middle Fork Campground,06K12,SNOW,9000,39.78,-106.02,1936,CO,Grand,Headwaters Williams Fork 140100010402,MFCC2
Current Historic,Milner Pass,05J24,SNOW,9750,40.4,-105.83,1952,CO,Larimer,Headwaters Colorado River 140100010302,MILC2
Current Historic,Mineral Creek,07M14S,SNTL,10040,37.85,-107.73,1979,CO,San Juan,Mineral Creek 140801040103,MINC2
Current Historic,Molas Lake,07M12S,SNTL,10500,37.75,-107.69,1986,CO,San Juan,Tenmile Creek-Animas River 140801040302,MLSC2
Current Historic,Monarch Offshoot,06L09,SNOW,10500,38.52,-106.33,1941,CO,Chaffee,Middle Fork South Arkansas River 110200010601,MOOC2
Current Historic,Moon Pass,06M26S,SNTL,11140,37.97,-106.56,2009,CO,Saguache,California Gulch 130100040201,MOPC2
Current Historic,Mosquito Creek,06K34,SNOW,10980,39.28,-106.13,1967,CO,Park,Mosquito Creek 101900010101,MOQC2
Current Historic,Nast Lake,06K06,SNOW,8700,39.3,-106.6,1936,CO,Pitkin,Headwaters Fryingpan River 140100040501,NSSC2
Current Historic,Nast Lake,06K06S,SNTL,8700,39.3,-106.61,1986,CO,Pitkin,Deeds Creek-Fryingpan River 140100040504,NSSC2
Current Historic,Never Summer,06J27S,SNTL,10280,40.4,-105.96,2002,CO,Jackson,Jack Creek 101800010401,NEVC2
Current Historic,Niwot,05J42S,SNTL,9910,40.04,-105.54,1980,CO,Boulder,North Boulder Creek 101900050401,NIWC2
Current Historic,North Inlet Grand Lake,05J09,SNOW,9000,40.28,-105.77,1938,CO,Grand,North Inlet 140100010305,NILC2
Current Historic,North Lost Trail,07K01S,SNTL,9200,39.08,-107.14,1985,CO,Gunnison,Yule Creek-Crystal River 140100040703,NLSC2
Current Historic,Overland Res.,07K14S,SNTL,9840,39.09,-107.63,1989,CO,Delta,Cow Creek 140200040101,OVRC2
Current Historic,Park Cone,06L02,SNOW,9600,38.82,-106.58,1936,CO,Gunnison,Taylor Park Reservoir 140200010107,PKCC2
Current Historic,Park Cone,06L02S,SNTL,9600,38.82,-106.59,1980,CO,Gunnison,Taylor Park Reservoir 140200010107,PKCC2
Current Historic,Park Reservoir,07K06S,SNTL,9960,39.05,-107.87,1979,CO,Delta,Surface Creek 140200050111,PRVC2
Current Historic,Park View,06J02,SNOW,9160,40.37,-106.1,1936,CO,Jackson,Headwaters Illinois River 101800010402,PKVC2
Current Historic,Phantom Valley,05J04S,SNTL,9030,40.4,-105.85,1980,CO,Grand,Headwaters Colorado River 140100010302,PHTC2
Current Historic,Pinos Mill,06M24,SNOW,10000,37.05,-106.42,1969,CO,Conejos,Headwaters Rio de Los Pinos 130100050201,PMLC2
Current Historic,Platoro,06M09,SNOW,9880,37.35,-106.55,1949,CO,Conejos,Platoro Resvervoir-Conejos River 130100050103,PLOC2
Current Historic,Pool Table Mountain,06M14,SNOW,9840,37.8,-106.8,1949,CO,Mineral,West Bellows Creek-Bellows Creek 130100010802,PTMC2
Current Historic,Porcupine,07M20,SNOW,10280,37.85,-107.17,1951,CO,Hinsdale,North Clear Creek 130100010202,PORC2
Current Historic,Porphyry Creek,06L03,SNOW,10760,38.48,-106.33,1940,CO,Gunnison,Agate Creek 140200030102,PRPC2
Current Historic,Porphyry Creek,06L03S,SNTL,10760,38.49,-106.34,1979,CO,Gunnison,Porphyry Creek-Tomichi Creek 140200030105,PRPC2
Current Historic,Rabbit Ears,06J09S,SNTL,9400,40.37,-106.74,1986,CO,Routt,Harrison Creek 140500010402,RESC2
Current Historic,Ranch Creek,05K18,SNOW,9400,39.93,-105.73,1957,CO,Grand,Headwaters Ranch Creek 140100010204,RNCC2
Current Historic,Rawah,06J20S,SNTL,9020,40.71,-106.01,2002,CO,Jackson,Middle Canadian River 101800010603,RAWC2
Current Historic,Red Feather,05J20,SNOW,9000,40.82,-105.65,1949,CO,Larimer,North Fork Lone Pine Creek 101900070602,
Current Historic,Red Mountain Pass,07M33S,SNTL,11200,37.89,-107.71,1980,CO,San Juan,Mineral Creek 140801040103,RMPC2
Current Historic,Rio Blanco,07J01,SNOW,8500,40.03,-107.28,1936,CO,Garfield,Snell Creek-North Fork White River 140500050102,RBOC2
Current Historic,Ripple Creek,07J05S,SNTL,10340,40.11,-107.29,1986,CO,Rio Blanco,Snell Creek-North Fork White River 140500050102,RCPC2
Current Historic,Roach,06J12S,SNTL,9700,40.88,-106.05,1980,CO,Larimer,Laramie River-Stuck Creek 101800100106,ROAC2
Current Historic,Rough And Tumble,06K43S,SNTL,10360,39.03,-106.08,1998,CO,Park,Headwaters South Fork South Platte River 101900010202,ROUC2
Current Historic,Saint Elmo,06L05,SNOW,10400,38.7,-106.37,1949,CO,Chaffee,Headwaters Chalk Creek 110200010501,SAIC2
Current Historic,Saint Elmo,06L05S,SNTL,10540,38.7,-106.37,2007,CO,Chaffee,Headwaters Chalk Creek 110200010501,CTEC2
Current Historic,Santa Maria,07M17,SNOW,9600,37.82,-107.12,1939,CO,Mineral,Outlet Clear Creek 130100010205,SMAC2
Current Historic,Sargents Mesa,06L13S,SNTL,11530,38.29,-106.37,2009,CO,Saguache,Middle Creek 130100040306,SGMC2
Current Historic,Sawtooth,05J45,SNOW,9740,40.13,-105.58,2002,CO,Boulder,Middle Saint Vrain Creek 101900050102,SATC2
Current Historic,Sawtooth,05J45S,SNTL,9620,40.14,-105.59,2014,CO,Boulder,Middle Saint Vrain Creek 101900050102,SATC2
Current Historic,Schofield Pass,07K11S,SNTL,10700,39.02,-107.05,1985,CO,Gunnison,South Fork Crystal River 140100040701,SOSC2
Current Historic,Scotch Creek,08M08S,SNTL,9100,37.65,-108.01,1986,CO,Dolores,Scotch Creek-Dolores River 140300020204,SHSC2
Current Historic,Sharkstooth,08M04S,SNTL,10720,37.5,-108.11,2005,CO,Montezuma,Bear Creek 140300020206,SKZC2
Current Historic,Shrine Pass,06K09,SNOW,10700,39.53,-106.22,1942,CO,Summit,Upper Gore Creek 140100030101,SRNC2
Current Historic,Silver Lakes,06M04,SNOW,9500,37.38,-106.4,1937,CO,Conejos,French Creek-Alamosa River 130100020304,SLKC2
Current Historic,Slumgullion,07M30S,SNTL,11560,37.99,-107.2,1980,CO,Hinsdale,Headwaters Cebolla Creek 140200020502,SLMC2
Current Historic,Snake River,05K16,SNOW,10000,39.63,-105.9,1951,CO,Summit,North Fork Snake River 140100020201,SNKC2
Current Historic,South Colony,05M13S,SNTL,10800,37.97,-105.54,1991,CO,Custer,Colony Creek-Grape Creek 110200011206,SCYC2
Current Historic,Spud Mountain,07M11S,SNTL,10660,37.7,-107.78,1986,CO,San Juan,Lime Creek 140801040202,SPSC2
Current Historic,Stillwater Creek,05J12S,SNTL,8720,40.23,-105.92,1986,CO,Grand,Stillwater Creek 140100010306,SCSC2
Current Historic,Stump Lakes,07M34S,SNTL,11200,37.48,-107.63,1986,CO,San Juan,Virginia Gulch-Florida River 140801040702,STPC2
Current Historic,Summit Ranch,06K14S,SNTL,9400,39.72,-106.16,1980,CO,Summit,Rock Creek-Blue River 140100020502,SUMC2
Current Historic,Sundance,05K22,SNOW,11100,39.57,-105.73,1979,CO,Park,Geneva Creek 101900020201,SNDC2
Current Historic,Telluride,07M02,SNOW,8800,37.93,-107.8,1936,CO,San Miguel,Headwaters San Miguel River 140300030106,TLDC2
Current Historic,Tennessee Pass #2,06K25,SNOW,10280,39.35,-106.35,1983,CO,Lake,Tennessee Creeks 110200010201,TPAC2
Current Historic,Tower,06J29S,SNTL,10500,40.54,-106.68,1979,CO,Routt,Fish Creek 140500010407,TOWC2
Current Historic,Trapper Lake,07K13S,SNTL,9700,40,-107.24,1986,CO,Garfield,Headwaters North Fork White River 140500050101,TLSC2
Current Historic,Trinchera,05M08S,SNTL,10860,37.35,-105.23,1989,CO,Costilla,North Fork Trinchera Creek 130100020601,TCHC2
Current Historic,Trout Creek Pass,06L12,SNOW,9720,38.92,-106.05,1967,CO,Chaffee,Four Mile Creek 110200010405,TCPC2
Current Historic,Trout Lake #2,07M28,SNOW,9780,37.83,-107.88,1983,CO,San Miguel,Lake Fork 140300030102,TRLC2
Current Historic,Twin Lakes Tunnel,06K03,SNOW,10450,39.08,-106.53,1937,CO,Lake,North Fork Lake Creek 110200010101,TWTC2
Current Historic,University Camp,05J08,SNOW,10300,40.03,-105.57,1938,CO,Boulder,North Boulder Creek 101900050401,UVCC2
Current Historic,University Camp,05J08S,SNTL,10300,40.03,-105.58,1979,CO,Boulder,North Boulder Creek 101900050401,UVCC2
Current Historic,Upper Rio Grande,07M16S,SNTL,9400,37.72,-107.26,1986,CO,Hinsdale,Rio Grande Reservoir 130100010106,URGC2
Current Historic,Upper San Juan,06M03,SNOW,10200,37.48,-106.83,1936,CO,Mineral,Wolf Creek 140801010203,USJC2
Current Historic,Upper San Juan,06M03S,SNTL,10200,37.49,-106.84,1979,CO,Mineral,Wolf Creek 140801010203,USJC2
Current Historic,Upper Taylor,06L14S,SNTL,10640,38.99,-106.75,2009,CO,Gunnison,Upper Taylor River 140200010101,UPTC2
Current Historic,Ute Creek,05M17,SNOW,10650,37.62,-105.37,1996,CO,Costilla,Headwaters angre de Cristo Creek 130100020502,UTCC2
Current Historic,Ute Creek,05M17S,SNTL,10650,37.61,-105.37,2000,CO,Costilla,East Fork Ute Creek 130100020604,UTCC2
Current Historic,Vail Mountain,06K39S,SNTL,10300,39.62,-106.38,1979,CO,Eagle,Middle Gore Creek 140100030102,VLMC2
Current Historic,Vallecito,07M31S,SNTL,10880,37.49,-107.51,1986,CO,La Plata,Indian Creek-Los Pinos River 140801011105,VALC2
Current Historic,Vasquez,05K19,SNOW,9600,39.85,-105.82,1957,CO,Grand,Vasquez Creek 140100010201,VQZC2
Current Historic,Wager Gulch,07M37S,SNTL,11100,37.88,-107.36,2011,CO,Hinsdale,Lake Sanc Cristobal-Lake Fork 140200020602,WRGC2
Current Historic,Weminuche Creek,07M36S,SNTL,10740,37.52,-107.32,2011,CO,Archuleta,Sand Creek 140801020203,WMNC2
Current Historic,Weston,06K26,SNOW,9300,39.07,-106.02,1982,CO,Park,Antero Reservoir 101900010205,WTOC2
Current Historic,Whiskey Ck,05M14S,SNTL,10220,37.21,-105.12,1980,CO,Las Animas,North Fork Purgatoire River 110200100102,WSKC2
Current Historic,Wild Basin,05J05,SNOW,9600,40.2,-105.6,1936,CO,Boulder,Headwaters North Saint Vrain Creek 101900050202,WILC2
Current Historic,Wild Basin,05J05S,SNTL,9560,40.2,-105.6,2003,CO,Boulder,Headwaters North Saint Vrain Creek 101900050202,WLBC2
Current Historic,Willow Creek Pass,06J05,SNOW,9540,40.35,-106.1,1938,CO,Grand,Upper Willow Creek 140100010102,WLLC2
Current Historic,Willow Creek Pass,06J05S,SNTL,9540,40.35,-106.09,1979,CO,Grand,Upper Willow Creek 140100010102,WLLC2
Current Historic,Willow Park,05J40S,SNTL,10700,40.43,-105.73,1980,CO,Larimer,Fall River 101900060204,WPRC2
Current Historic,Winfield Middle,06K50,SNOW,10340,38.98,-106.45,2010,CO,Chaffee,Headwaters Clear Creek 110200010401,
Current Historic,Wolf Creek Summit,06M17S,SNTL,11000,37.48,-106.8,1986,CO,Mineral,Wolf Creek 140801010203,WCSC2
Current Historic,Wurtz Lower,06K51,SNOW,10690,39.39,-106.36,2004,CO,Eagle,South Fork Eagle River 140100030201,
Current Historic,Wurtz Middle,06K52,SNOW,10436,39.41,-106.37,2004,CO,Eagle,Resolution Creek-Eagle River 140100030206,
Current Historic,Yampa View,06J10,SNOW,8200,40.37,-106.77,1951,CO,Routt,Harrison Creek 140500010402,YMVC2
Current Historic,Zirkel,06J19S,SNTL,9340,40.79,-106.6,2002,CO,Jackson,Middle North Fork North Platte River 101800010202,ZIRC2
